Feature,Model,Precision,Recall,Macro F1
word_ngram+char_ngram,LR_RF_MNB,0.5622784277693584,0.6524412457715228,0.5916467079499308
word_ngram+char_ngram,LR_MNB_XGB,0.560789454030485,0.6497940927463148,0.5907887755556792
word_ngram+char_ngram,LR_RF_MNB_SGD_XGB,0.5566129278364661,0.6520351603290134,0.5862492465705946
word_ngram+char_ngram,LR_RF_MNB_SVM_XGB,0.5545680503575561,0.6463876139942536,0.5825680119306986
word_ngram+char_ngram,LR_RF_SGD,0.5552882131072472,0.6472776042821311,0.5816043602716933
word_ngram+char_ngram,LR_MNB_SGD,0.5476723318067286,0.6431469434893046,0.5778553367528357
word_ngram+char_ngram,LR_MNB_SVM,0.5467101872546826,0.6432450536902646,0.5775884452853239
word_ngram+char_ngram,MNB_SVM_XGB,0.5463392639042857,0.6439029150693089,0.5775401559112051
word_ngram+char_ngram,LR_RF_SVM,0.5494539324251722,0.6451932195015256,0.5774885316690946
word_ngram+char_ngram,LR_SGD_XGB,0.5516289700609234,0.6417984155652338,0.5759992626708987
word_ngram+char_ngram,RF_MNB_SVM,0.5455632122842141,0.6414315405223583,0.575718149144315
word_ngram+char_ngram,LR_RF_MNB_SVM_SGD,0.543844215722046,0.6414655358436561,0.5743432805689548
word_ngram+char_ngram,MNB_SGD_XGB,0.544186509348307,0.641047654360102,0.5733474869702692
word_ngram+char_ngram,RF_MNB_SGD,0.5436376757367569,0.6420692616915814,0.5725039669195222
word_ngram+char_ngram,LR_SVM_XGB,0.5447338182132666,0.6386499183719231,0.5718276942067468
word_ngram+char_ngram,LR_MNB_SVM_SGD_XGB,0.5422460887532197,0.6402951243082557,0.5711114403996927
word_ngram+char_ngram,RF_MNB_SVM_SGD_XGB,0.5396528534336297,0.6414847940802807,0.5687564361718895
word_ngram+char_ngram,RF_SVM_XGB,0.5404069899974467,0.6373797312175469,0.5643433242375466
word_ngram+char_ngram,LR_RF_XGB,0.5400565445202222,0.6346434123440021,0.5641881047244126
word_ngram+char_ngram,LR_RF_SVM_SGD_XGB,0.5361125935716533,0.6382540840442721,0.5640574825333537
word_ngram+char_ngram,RF_MNB_XGB,0.5361430268550167,0.6313688163971347,0.5616838890361533
word_ngram+char_ngram,RF_SGD_XGB,0.5368115314877836,0.6332366393075338,0.5616542302873664
word_ngram+char_ngram,MNB_SVM_SGD,0.5232294257744723,0.6255774517185217,0.5544803438118158
word_ngram+char_ngram,RF_SVM_SGD,0.5204578826072901,0.6260378950421102,0.5511564926802468
word_ngram+char_ngram,LR_SVM_SGD,0.51993349437941,0.625744124364112,0.5507311454330182
word_ngram+char_ngram,SVM_SGD_XGB,0.5189981599522102,0.621485268383474,0.549169523516918
